time,open,high,low,close,Volume,Volume MA
2000-01-03T14:30:00Z,1469.25,1478,1463.92,1466.39,120,NaN
2000-01-03T18:30:00Z,1465.56,1465.56,1438.39,1443.44,442,NaN
2000-01-04T14:30:00Z,1433.18,1439.91,1432.59,1434.05,77,NaN
2000-01-04T18:30:00Z,1434.48,1436.11,1413.68,1414.35,517,NaN
2000-01-05T14:30:00Z,1399.42,1401.15,1377.68,1392.65,102,NaN
2000-01-05T18:30:00Z,1394.9,1403.71,1387.89,1395.26,478,NaN
2000-01-06T14:30:00Z,1402.11,1402.64,1392.02,1393.07,82,NaN
2000-01-06T18:30:00Z,1396.85,1410.56,1396.42,1409.54,550,NaN
2000-01-07T14:30:00Z,1403.45,1418.75,1400.73,1418.36,96,NaN
2000-01-07T18:30:00Z,1419.92,1421.76,1414.1,1417.3,508,NaN
2000-01-10T14:30:00Z,1441.47,1463.78,1441.47,1459.93,77,NaN
2000-01-10T18:30:00Z,1458.72,1460.74,1449.84,1455.01,492,NaN
2000-01-11T14:30:00Z,1457.6,1457.78,1450.78,1453.51,88,NaN
2000-01-11T18:30:00Z,1452.93,1458.66,1446.35,1448.17,467,NaN
2000-01-12T14:30:00Z,1438.56,1442.6,1427.08,1428.21,61,NaN
2000-01-12T18:30:00Z,1429.74,1442.37,1429.16,1437.61,442,NaN
2000-01-13T14:30:00Z,1432.25,1443.16,1432.25,1435.37,93,NaN
2000-01-13T18:30:00Z,1435.52,1442.08,1435.25,1438.32,550,NaN
2000-01-14T14:30:00Z,1449.68,1471.26,1449.68,1471.11,123,NaN
2000-01-14T18:30:00Z,1470.9,1473,1458.82,1466.36,533,294.9
2000-01-18T14:30:00Z,1465.15,1465.15,1452.46,1457.75,120,294.9
2000-01-18T18:30:00Z,1460.59,1462.24,1451.41,1456.29,526,299.1
2000-01-19T14:30:00Z,1455.14,1459.77,1448.68,1459.77,92,299.85
2000-01-19T18:30:00Z,1460.2,1461.02,1454.7,1458.57,535,300.75
2000-01-20T14:30:00Z,1455.9,1465.08,1455.9,1460.86,96,300.45
2000-01-20T18:30:00Z,1461.37,1462.86,1440.67,1441.14,463,299.7
2000-01-21T14:30:00Z,1445.57,1453.18,1442.02,1443.96,177,304.45
2000-01-21T18:30:00Z,1443.59,1447.26,1440.88,1443.76,605,307.2
2000-01-24T14:30:00Z,1441.36,1452.83,1441.36,1441.57,172,311
2000-01-24T18:30:00Z,1441.31,1442.36,1433,1436.28,609,316.05
2000-01-25T14:30:00Z,1401.53,1411.15,1398.52,1407.5,131,318.75
2000-01-25T18:30:00Z,1408.27,1412.02,1396.05,1396.46,574,322.85
2000-01-26T14:30:00Z,1410.03,1412.73,1404.04,1411.41,163,326.6
2000-01-26T18:30:00Z,1411.2,1411.31,1400.16,1407.47,587,332.6
2000-01-27T14:30:00Z,1404.09,1417.74,1404.09,1415.15,175,338.3
2000-01-27T18:30:00Z,1415.4,1418.86,1394.99,1398.46,595,345.95
2000-01-28T14:30:00Z,1398.56,1398.56,1385.02,1395.26,148,348.7
2000-01-28T18:30:00Z,1395.31,1395.31,1365.79,1366.21,593,350.85
2000-01-31T14:30:00Z,1360.16,1365.78,1355.37,1361.56,88,349.1
2000-01-31T18:30:00Z,1358.42,1363.1,1350.09,1363.08,440,344.45
2000-02-01T14:30:00Z,1394.46,1395.05,1384.79,1387.79,75,342.2
2000-02-01T18:30:00Z,1388.32,1402.4,1388.32,1402.12,532,342.5
2000-02-02T14:30:00Z,1409.28,1413.33,1405.67,1405.67,30,339.4
2000-02-02T18:30:00Z,1406.65,1415.42,1406.3,1409.69,90,317.15
2000-02-03T14:30:00Z,1409.12,1419.24,1409.12,1414.5,108,317.75
2000-02-03T18:30:00Z,1415.02,1419.51,1398.52,1417.12,509,320.05
2000-02-04T14:30:00Z,1424.97,1435.91,1424.97,1430.03,111,316.75
2000-02-04T18:30:00Z,1430.21,1434.22,1426.94,1431.14,526,312.8
2000-02-07T14:30:00Z,1424.37,1427.15,1417.44,1422.17,132,310.8
2000-02-07T18:30:00Z,1421.61,1422.63,1414.46,1416.32,599,310.3
2000-02-08T14:30:00Z,1424.24,1441.09,1424.24,1439.99,106,309.05
2000-02-08T18:30:00Z,1439.86,1441.83,1434.7,1436.59,568,308.75
2000-02-09T14:30:00Z,1441.72,1444.55,1432.58,1438.16,160,308.6
2000-02-09T18:30:00Z,1438.27,1439.55,1422.1,1425.56,556,307.05
2000-02-10T14:30:00Z,1411.7,1418.31,1409.06,1416.64,131,304.85
2000-02-10T18:30:00Z,1416.75,1422.1,1408.6,1418.65,560,303.1
2000-02-11T14:30:00Z,1416.83,1416.83,1401.12,1403.8,172,304.3
2000-02-11T18:30:00Z,1403.81,1410.17,1400.6,1401.49,560,302.65
2000-02-14T14:30:00Z,1387.12,1394.93,1383.85,1384.2,168,306.65
2000-02-14T18:30:00Z,1383.12,1394.03,1383.01,1385.94,582,313.75
2000-02-15T14:30:00Z,1389.94,1392.04,1381.38,1384.03,164,318.2
2000-02-15T18:30:00Z,1382.63,1388.54,1376.25,1386.31,566,319.9
2000-02-16T14:30:00Z,1402.05,1404.27,1398.18,1400.4,94,323.1
2000-02-16T18:30:00Z,1400.39,1400.69,1390.17,1392.81,526,344.9
2000-02-17T14:30:00Z,1387.67,1399.88,1381.77,1391.33,139,346.45
2000-02-17T18:30:00Z,1390.88,1391.31,1380.17,1389.67,554,348.7
2000-02-18T14:30:00Z,1388.26,1388.59,1373.22,1373.22,182,352.25
2000-02-18T18:30:00Z,1373.08,1376.59,1364.37,1366.36,598,355.85
2000-02-22T14:30:00Z,1346.09,1355.51,1334.66,1334.9,177,358.1
2000-02-22T18:30:00Z,1338.12,1342.98,1331.88,1336.17,576,356.95
2000-02-23T14:30:00Z,1352.17,1352.84,1345.49,1348.2,180,360.65
