Local time,Open,High,Low,Close,Volume
18.07.2004 22:00:00.000 GMT+0100,1.87250,1.87705,1.82979,1.83146,825126.7150000002
25.07.2004 22:00:00.000 GMT+0100,1.83175,1.84459,1.80835,1.81945,814478.5207
01.08.2004 22:00:00.000 GMT+0100,1.81923,1.84642,1.81494,1.84112,817218.9605
08.08.2004 22:00:00.000 GMT+0100,1.84281,1.84549,1.81337,1.84322,810029.2938999999
15.08.2004 22:00:00.000 GMT+0100,1.84293,1.84618,1.81562,1.81957,829063.6415000004
22.08.2004 22:00:00.000 GMT+0100,1.81851,1.82079,1.78810,1.79018,812013.0826999998
29.08.2004 22:00:00.000 GMT+0100,1.78984,1.80650,1.77359,1.77633,802137.7365
05.09.2004 22:00:00.000 GMT+0100,1.77633,1.80210,1.77062,1.79623,809283.3906999996
12.09.2004 22:00:00.000 GMT+0100,1.79775,1.80337,1.77389,1.79295,801733.7096
19.09.2004 22:00:00.000 GMT+0100,1.79230,1.80815,1.78154,1.80538,790149.3174999997
26.09.2004 22:00:00.000 GMT+0100,1.80544,1.81588,1.79274,1.79835,799920.6082000001
03.10.2004 22:00:00.000 GMT+0100,1.79863,1.79863,1.77433,1.79438,797860.2835000004
10.10.2004 22:00:00.000 GMT+0100,1.79485,1.80616,1.78402,1.80388,798890.8699999999
17.10.2004 22:00:00.000 GMT+0100,1.80417,1.83169,1.79219,1.82780,793812.6118000002
24.10.2004 22:00:00.000 GMT+0100,1.82786,1.84474,1.81961,1.83588,785227.6472999997
31.10.2004 22:00:00.000 GMT-0000,1.83844,1.85588,1.82959,1.85422,783932.1795999999
07.11.2004 22:00:00.000 GMT-0000,1.85463,1.86135,1.83771,1.85602,772508.9918000003
14.11.2004 22:00:00.000 GMT-0000,1.85548,1.86338,1.84372,1.85672,771212.6506
21.11.2004 22:00:00.000 GMT-0000,1.85797,1.90323,1.85195,1.89375,761009.5242
28.11.2004 22:00:00.000 GMT-0000,1.89297,1.94417,1.88477,1.94362,758642.9426000001
05.12.2004 22:00:00.000 GMT-0000,1.94206,1.95050,1.90135,1.91469,755606.9834999997
12.12.2004 22:00:00.000 GMT-0000,1.90808,1.95469,1.90786,1.94154,759705.2982999999
19.12.2004 22:00:00.000 GMT-0000,1.94465,1.95040,1.90983,1.92358,759847.8485
26.12.2004 22:00:00.000 GMT-0000,1.92288,1.94145,1.91188,1.91814,697105.9656
02.01.2005 22:00:00.000 GMT-0000,1.91930,1.91985,1.86432,1.87069,766595.6559000001
09.01.2005 22:00:00.000 GMT-0000,1.87055,1.89344,1.86375,1.87028,756727.1373
16.01.2005 22:00:00.000 GMT-0000,1.86967,1.88235,1.85258,1.87668,696212.0562000001
23.01.2005 22:00:00.000 GMT-0000,1.87832,1.89247,1.86244,1.88784,757499.9328999997
