time,open,high,low,close,Volume,Volume MA
2002-05-06T21:00:00Z,1.4681,1.4681,1.4681,1.4681,1,NaN
2002-05-07T21:00:00Z,1.4681,1.4681,1.45585,1.45585,1,NaN
2002-05-08T21:00:00Z,1.45585,1.46,1.45585,1.46,1,NaN
2002-05-09T21:00:00Z,1.46,1.4639,1.46,1.4639,1,NaN
2002-05-12T21:00:00Z,1.4639,1.4639,1.4567,1.4567,1,NaN
2002-05-13T21:00:00Z,1.4567,1.4567,1.4503,1.4503,1,NaN
2002-05-14T21:00:00Z,1.4503,1.4606,1.4503,1.4606,1,NaN
2002-05-15T21:00:00Z,1.4606,1.4606,1.4565,1.4565,1,NaN
2002-05-16T21:00:00Z,1.4565,1.4582,1.4565,1.4582,1,NaN
2002-05-19T21:00:00Z,1.4582,1.4584,1.4582,1.4584,1,NaN
2002-05-20T21:00:00Z,1.4584,1.4599,1.4584,1.4599,1,NaN
2002-05-21T21:00:00Z,1.4599,1.4599,1.4589,1.4589,1,NaN
2002-05-22T21:00:00Z,1.4589,1.4589,1.4551,1.4551,1,NaN
2002-05-23T21:00:00Z,1.4551,1.4573,1.4551,1.4573,1,NaN
2002-05-26T21:00:00Z,1.4573,1.4573,1.4571,1.4571,1,NaN
2002-05-27T21:00:00Z,1.4571,1.4591,1.4571,1.4591,1,NaN
2002-05-28T21:00:00Z,1.4591,1.462,1.4591,1.462,1,NaN
2002-05-29T21:00:00Z,1.462,1.4652,1.462,1.4652,1,NaN
2002-05-30T21:00:00Z,1.4652,1.4652,1.4568,1.4568,1,NaN
2002-06-02T21:00:00Z,1.4568,1.4634,1.4568,1.4634,1,1
2002-06-03T21:00:00Z,1.4634,1.4634,1.4588,1.4588,1,1
2002-06-04T21:00:00Z,1.4588,1.46,1.4588,1.46,1,1
2002-06-05T21:00:00Z,1.46,1.4608,1.46,1.4608,1,1
2002-06-06T21:00:00Z,1.4608,1.4608,1.4601,1.4601,1,1
2002-06-09T21:00:00Z,1.4601,1.46055,1.4601,1.46055,1,1
2002-06-10T21:00:00Z,1.46055,1.47155,1.46055,1.47155,1,1
2002-06-11T21:00:00Z,1.47155,1.47155,1.47115,1.47115,1,1
2002-06-12T21:00:00Z,1.47115,1.47235,1.47115,1.47235,1,1
2002-06-13T21:00:00Z,1.47235,1.4769,1.47235,1.4769,1,1
2002-06-16T21:00:00Z,1.4769,1.4798,1.4769,1.4798,1,1
2002-06-17T21:00:00Z,1.4798,1.4911,1.4798,1.4911,1,1
2002-06-18T21:00:00Z,1.4911,1.4912,1.4911,1.4912,1,1
2002-06-19T21:00:00Z,1.4912,1.4986,1.4912,1.4986,1,1
2002-06-20T21:00:00Z,1.4986,1.4986,1.4974,1.4974,1,1
2002-06-23T21:00:00Z,1.4974,1.50115,1.4974,1.50115,1,1
2002-06-24T21:00:00Z,1.50115,1.5088,1.50115,1.5088,1,1
2002-06-25T21:00:00Z,1.5088,1.5254,1.5088,1.5254,1,1
2002-06-26T21:00:00Z,1.5254,1.52965,1.5254,1.52965,1,1
2002-06-27T21:00:00Z,1.52965,1.5334,1.52965,1.5334,1,1
2002-06-30T21:00:00Z,1.5334,1.5334,1.53315,1.53315,1,1
2002-07-01T21:00:00Z,1.53315,1.53595,1.53315,1.53595,1,1
2002-07-02T21:00:00Z,1.53595,1.53595,1.52775,1.52775,1,1
2002-07-03T21:00:00Z,1.52775,1.52775,1.52765,1.52765,1,1
2002-07-04T21:00:00Z,1.52765,1.52765,1.5223,1.5223,1,1
2002-07-07T21:00:00Z,1.5223,1.54475,1.5223,1.54475,1,1
2002-07-08T21:00:00Z,1.54475,1.54875,1.54475,1.54875,1,1
2002-07-09T21:00:00Z,1.54875,1.54875,1.54755,1.54755,1,1
2002-07-10T21:00:00Z,1.54755,1.55475,1.54755,1.55475,1,1
2002-07-11T21:00:00Z,1.55475,1.55475,1.5536,1.5536,1,1
2002-07-14T21:00:00Z,1.5536,1.5692,1.5536,1.5692,1,1
2002-07-15T21:00:00Z,1.5692,1.5758,1.5692,1.5758,1,1
2002-07-16T21:00:00Z,1.5758,1.5758,1.5709,1.5709,1,1
2002-07-17T21:00:00Z,1.5709,1.5732,1.5709,1.5732,1,1
2002-07-18T21:00:00Z,1.5732,1.5776,1.5732,1.5776,1,1
2002-07-21T21:00:00Z,1.5776,1.5797,1.5776,1.5797,1,1
2002-07-22T21:00:00Z,1.5797,1.5797,1.5633,1.5633,1,1
2002-07-23T21:00:00Z,1.5633,1.57245,1.5633,1.57245,1,1
2002-07-24T21:00:00Z,1.57245,1.58415,1.57245,1.58415,1,1
2002-07-25T21:00:00Z,1.58415,1.58415,1.5648,1.5648,1,1
2002-07-28T21:00:00Z,1.5648,1.5648,1.56315,1.56315,1,1
2002-07-29T21:00:00Z,1.56315,1.57415,1.56315,1.57415,1,1
2002-07-30T21:00:00Z,1.57415,1.57415,1.56425,1.56425,1,1
2002-07-31T21:00:00Z,1.56425,1.56425,1.56125,1.56125,1,1
2002-08-01T21:00:00Z,1.56125,1.57,1.56125,1.57,1,1
2002-08-04T21:00:00Z,1.57,1.57,1.56105,1.56105,1,1
2002-08-05T21:00:00Z,1.56105,1.56105,1.53765,1.53765,1,1
2002-08-06T21:00:00Z,1.53765,1.53965,1.53765,1.53965,1,1
2002-08-07T21:00:00Z,1.53965,1.53965,1.5314,1.5314,1,1
2002-08-08T21:00:00Z,1.5314,1.5314,1.5244,1.5244,1,1
2002-08-11T21:00:00Z,1.5244,1.53175,1.5244,1.53175,1,1
2002-08-12T21:00:00Z,1.53175,1.5372,1.53175,1.5372,1,1
2002-08-13T21:00:00Z,1.5372,1.5372,1.5367,1.5367,1,1
2002-08-14T21:00:00Z,1.5367,1.5367,1.5359,1.5359,1,1
2002-08-15T21:00:00Z,1.5359,1.5391,1.5359,1.5391,1,1
2002-08-18T21:00:00Z,1.5391,1.5391,1.5273,1.5273,1,1
2002-08-19T21:00:00Z,1.5273,1.5286,1.5273,1.5286,1,1
2002-08-20T21:00:00Z,1.5286,1.5317,1.5286,1.5317,1,1
2002-08-21T21:00:00Z,1.5317,1.5317,1.5216,1.5216,1,1
2002-08-22T21:00:00Z,1.5216,1.5216,1.5204,1.5204,1,1
2002-08-25T21:00:00Z,1.5204,1.52165,1.5204,1.52165,1,1
2002-08-26T21:00:00Z,1.52165,1.53445,1.52165,1.53445,1,1
2002-08-27T21:00:00Z,1.53445,1.53445,1.5344,1.5344,1,1
2002-08-28T21:00:00Z,1.5344,1.5488,1.5344,1.5488,1,1
2002-08-29T21:00:00Z,1.5488,1.5508,1.5488,1.5508,1,1
2002-09-01T21:00:00Z,1.5508,1.5508,1.5481,1.5481,1,1
2002-09-02T21:00:00Z,1.5481,1.56465,1.5481,1.56465,1,1
2002-09-03T21:00:00Z,1.56465,1.565,1.56465,1.565,1,1
2002-09-04T21:00:00Z,1.565,1.5651,1.565,1.5651,1,1
2002-09-08T21:00:00Z,1.5651,1.5651,1.5568,1.5568,1,1
2002-09-09T21:00:00Z,1.5568,1.5568,1.5557,1.5557,1,1
2002-09-11T21:00:00Z,1.5557,1.5616,1.5557,1.5616,1,1
2002-09-12T21:00:00Z,1.5616,1.5616,1.5514,1.5514,1,1
2002-09-15T21:00:00Z,1.5514,1.5514,1.5409,1.5409,1,1
2002-09-16T21:00:00Z,1.5409,1.5419,1.5409,1.5419,1,1
2002-09-17T21:00:00Z,1.5419,1.54995,1.5419,1.54995,1,1
2002-09-18T21:00:00Z,1.54995,1.5562,1.54995,1.5562,1,1
2002-09-19T21:00:00Z,1.5562,1.5562,1.5547,1.5547,1,1
2002-09-22T21:00:00Z,1.5547,1.5547,1.5513,1.5513,1,1
2002-09-23T21:00:00Z,1.5513,1.5589,1.5513,1.5589,1,1
2002-09-24T21:00:00Z,1.5589,1.5589,1.5571,1.5571,1,1
2002-09-25T21:00:00Z,1.5571,1.558,1.5571,1.558,1,1
2002-09-26T21:00:00Z,1.558,1.5611,1.558,1.5611,1,1
2002-09-29T21:00:00Z,1.5611,1.569,1.5611,1.569,1,1
2002-09-30T21:00:00Z,1.569,1.569,1.5657,1.5657,1,1
2002-10-01T21:00:00Z,1.5657,1.5697,1.5657,1.5697,1,1
