time,open,high,low,close,Volume,Volume MA
1985-06-17T21:00:00Z,324.91,324.91,324.91,324.91,0,0
1985-06-18T21:00:00Z,320.77,320.77,320.77,320.77,0,0
1985-06-19T21:00:00Z,317.32,317.32,317.32,317.32,0,0
1985-06-20T21:00:00Z,318.86,318.86,318.86,318.86,0,0
1985-06-23T21:00:00Z,320.71,320.71,320.71,320.71,0,0
1985-06-24T21:00:00Z,320.26,320.26,320.26,320.26,0,0
1985-06-25T21:00:00Z,322.58,322.58,322.58,322.58,0,0
1985-06-26T21:00:00Z,322.25,322.25,322.25,322.25,0,0
1985-06-27T21:00:00Z,325.01,325.01,325.01,325.01,0,0
1985-06-30T21:00:00Z,320.05,320.05,320.05,320.05,0,0
1985-07-01T21:00:00Z,324.65,324.65,324.65,324.65,0,0
1985-07-02T21:00:00Z,325.81,325.81,325.81,325.81,0,0
1985-07-04T21:00:00Z,329.38,329.38,329.38,329.38,0,0
1985-07-07T21:00:00Z,331.69,331.69,331.69,331.69,0,0
1985-07-08T21:00:00Z,333.7,333.7,333.7,333.7,0,0
1985-07-09T21:00:00Z,336.54,336.54,336.54,336.54,0,0
1985-07-10T21:00:00Z,334.06,334.06,334.06,334.06,0,0
1985-07-11T21:00:00Z,333.42,333.42,333.42,333.42,0,0
1985-07-14T21:00:00Z,328.96,328.96,328.96,328.96,0,0
1985-07-15T21:00:00Z,331.19,331.19,331.19,331.19,0,0
1985-07-16T21:00:00Z,335.48,335.48,335.48,335.48,0,0
1985-07-17T21:00:00Z,334.24,334.24,334.24,334.24,0,0
1985-07-18T21:00:00Z,332.54,332.54,332.54,332.54,0,0
1985-07-21T21:00:00Z,334.37,334.37,334.37,334.37,0,0
1985-07-22T21:00:00Z,334.8,334.8,334.8,334.8,0,0
1985-07-23T21:00:00Z,336.48,336.48,336.48,336.48,0,0
1985-07-24T21:00:00Z,336.92,336.92,336.92,336.92,0,0
1985-07-25T21:00:00Z,337.98,337.98,337.98,337.98,0,0
1985-07-28T21:00:00Z,338.37,338.37,338.37,338.37,0,0
1985-07-29T21:00:00Z,337.27,337.27,337.27,337.27,0,0
1985-07-30T21:00:00Z,333.26,333.26,333.26,333.26,0,0
1985-07-31T21:00:00Z,326.82,326.82,326.82,326.82,0,0
1985-08-01T21:00:00Z,324.24,324.24,324.24,324.24,0,0
1985-08-04T21:00:00Z,325.92,325.92,325.92,325.92,0,0
1985-08-05T21:00:00Z,319.88,319.88,319.88,319.88,0,0
