time,open,high,low,close,Volume,Volume MA
2010-01-03T22:00:00Z,1.80064,1.80064,1.78985,1.79763,8515,NaN
2010-01-04T02:00:00Z,1.79763,1.79871,1.79131,1.79239,6785,NaN
2010-01-04T06:00:00Z,1.79239,1.79377,1.7858,1.78943,20281,NaN
2010-01-04T10:00:00Z,1.78943,1.79196,1.77896,1.77963,21293,NaN
2010-01-04T14:00:00Z,1.77963,1.78205,1.7622,1.76772,20527,NaN
2010-01-04T18:00:00Z,1.76772,1.76847,1.76054,1.76236,6657,NaN
2010-01-04T22:00:00Z,1.76236,1.76661,1.75901,1.76071,8102,NaN
2010-01-05T02:00:00Z,1.76071,1.76469,1.76041,1.76421,9618,NaN
2010-01-05T06:00:00Z,1.76421,1.76701,1.75199,1.75351,17819,NaN
2010-01-05T10:00:00Z,1.75351,1.75562,1.74734,1.75561,16451,NaN
2010-01-05T14:00:00Z,1.75561,1.75925,1.75028,1.75357,19671,NaN
2010-01-05T18:00:00Z,1.75357,1.75796,1.751,1.75248,9120,NaN
2010-01-05T22:00:00Z,1.75248,1.75666,1.74889,1.75048,8104,NaN
2010-01-06T02:00:00Z,1.75048,1.75182,1.74584,1.74593,6671,NaN
2010-01-06T06:00:00Z,1.74593,1.75933,1.74521,1.75204,24913,NaN
2010-01-06T10:00:00Z,1.75204,1.75471,1.74186,1.74364,17598,NaN
2010-01-06T14:00:00Z,1.74364,1.7465,1.73981,1.7411,23243,NaN
2010-01-06T18:00:00Z,1.7411,1.74257,1.73701,1.74035,8957,NaN
2010-01-06T22:00:00Z,1.74035,1.7428,1.73207,1.7344,7521,NaN
2010-01-07T02:00:00Z,1.7344,1.73731,1.73269,1.73453,9189,13551.75
2010-01-07T06:00:00Z,1.73453,1.73761,1.7307,1.7343,22084,14230.2
2010-01-07T10:00:00Z,1.7343,1.73768,1.73203,1.73213,21207,14951.3
2010-01-07T14:00:00Z,1.73213,1.7386,1.73182,1.73634,21335,15004
2010-01-07T18:00:00Z,1.73634,1.73848,1.73472,1.7358,7299,14304.3
2010-01-07T22:00:00Z,1.7358,1.73861,1.73468,1.73784,7298,13642.85
2010-01-08T02:00:00Z,1.73784,1.74581,1.73651,1.74527,7867,13703.35
2010-01-08T06:00:00Z,1.74527,1.75067,1.74051,1.74957,17144,14155.45
2010-01-08T10:00:00Z,1.74957,1.75105,1.74381,1.74526,20150,14682.05
2010-01-08T14:00:00Z,1.74526,1.74727,1.73339,1.73362,27146,15148.4
2010-01-08T18:00:00Z,1.73362,1.73611,1.73185,1.73461,6511,14651.4
2010-01-10T22:00:00Z,1.73461,1.73461,1.72757,1.72941,3352,13835.45
2010-01-11T02:00:00Z,1.72941,1.73049,1.72631,1.72781,5613,13660.1
2010-01-11T06:00:00Z,1.72781,1.73447,1.72641,1.73301,17431,14126.45
2010-01-11T10:00:00Z,1.73301,1.73745,1.73241,1.73365,16972,14641.5
2010-01-11T14:00:00Z,1.73365,1.74009,1.73359,1.73538,21082,14449.95
2010-01-11T18:00:00Z,1.73538,1.73555,1.72771,1.73315,8135,13976.8
2010-01-11T22:00:00Z,1.73315,1.73637,1.73119,1.73503,6813,13155.3
2010-01-12T02:00:00Z,1.73503,1.73911,1.73161,1.73201,9359,13175.4
2010-01-12T06:00:00Z,1.73201,1.74217,1.72912,1.73955,20657,13832.2
2010-01-12T10:00:00Z,1.73955,1.75111,1.73931,1.74825,22489,14497.2
2010-01-12T14:00:00Z,1.74825,1.75721,1.74627,1.757,23849,14585.45
2010-01-12T18:00:00Z,1.757,1.76124,1.75502,1.75691,11153,14082.75
2010-01-12T22:00:00Z,1.75691,1.75691,1.75021,1.75181,8505,13441.25
2010-01-13T02:00:00Z,1.75181,1.75361,1.74951,1.75321,8237,13488.15
2010-01-13T06:00:00Z,1.75321,1.75761,1.75261,1.75491,19338,14090.15
2010-01-13T10:00:00Z,1.75491,1.76381,1.75336,1.75719,17589,14576.25
2010-01-13T14:00:00Z,1.75719,1.76718,1.75696,1.76317,23227,14880.4
2010-01-13T18:00:00Z,1.76317,1.76481,1.7609,1.76145,9354,14340.6
2010-01-13T22:00:00Z,1.76145,1.76563,1.75254,1.75281,6562,13311.4
2010-01-14T02:00:00Z,1.75281,1.75391,1.74983,1.74985,7400,13355.85
2010-01-14T06:00:00Z,1.74985,1.75338,1.74593,1.75164,15702,13973.35
2010-01-14T10:00:00Z,1.75164,1.75528,1.74883,1.75466,16913,14538.35
2010-01-14T14:00:00Z,1.75466,1.75532,1.74946,1.75356,23879,14860.75
2010-01-14T18:00:00Z,1.75356,1.75508,1.75201,1.75285,7102,14367.25
2010-01-14T22:00:00Z,1.75285,1.75911,1.75136,1.75663,6486,13637.45
2010-01-15T02:00:00Z,1.75663,1.76434,1.75521,1.76023,10969,13779.15
2010-01-15T06:00:00Z,1.76023,1.76571,1.75818,1.75986,20764,14476.7
2010-01-15T10:00:00Z,1.75986,1.76494,1.7574,1.76124,22256,15121.55
2010-01-15T14:00:00Z,1.76124,1.76503,1.75422,1.76023,24319,15304.65
2010-01-15T18:00:00Z,1.76023,1.76364,1.75976,1.7601,6205,14490.45
2010-01-17T22:00:00Z,1.7601,1.77232,1.7601,1.77161,8055,13700.75
2010-01-18T02:00:00Z,1.77161,1.77406,1.76694,1.76904,7649,13525.55
2010-01-18T06:00:00Z,1.76904,1.77114,1.76414,1.76712,17344,13967.5
2010-01-18T10:00:00Z,1.76712,1.76995,1.75945,1.75972,14637,14287.5
2010-01-18T14:00:00Z,1.75972,1.76364,1.75798,1.76152,8597,13750.45
2010-01-18T18:00:00Z,1.76152,1.76393,1.76031,1.76313,2229,12982.45
2010-01-18T22:00:00Z,1.76313,1.77181,1.76256,1.77064,7879,12215.05
2010-01-19T02:00:00Z,1.77064,1.77734,1.77034,1.77531,8828,12188.75
2010-01-19T06:00:00Z,1.77531,1.78074,1.76894,1.77884,20602,12890.75
2010-01-19T10:00:00Z,1.77884,1.78074,1.77428,1.77611,27652,13903.35
2010-01-19T14:00:00Z,1.77611,1.77826,1.76962,1.77009,22372,14236.85
2010-01-19T18:00:00Z,1.77009,1.77307,1.76868,1.77181,7807,13781.55
2010-01-19T22:00:00Z,1.77181,1.7782,1.77032,1.77791,10094,13092.3
2010-01-20T02:00:00Z,1.77791,1.78149,1.77471,1.77811,15363,13505.35
2010-01-20T06:00:00Z,1.77811,1.78524,1.77602,1.78404,25602,14461.15
2010-01-20T10:00:00Z,1.78404,1.78552,1.77785,1.78222,25985,15211.95
2010-01-20T14:00:00Z,1.78222,1.79367,1.78009,1.7895,26335,15490.5
2010-01-20T18:00:00Z,1.7895,1.79468,1.78892,1.78979,7910,14773.2
2010-01-20T22:00:00Z,1.78979,1.79037,1.78226,1.78349,8227,13968.6
2010-01-21T02:00:00Z,1.78349,1.78672,1.77899,1.78002,11787,14247.7
2010-01-21T06:00:00Z,1.78002,1.78351,1.77411,1.77459,22325,14961.2
2010-01-21T10:00:00Z,1.77459,1.78162,1.77403,1.775,26027,15880.1
2010-01-21T14:00:00Z,1.775,1.79264,1.77343,1.79177,31426,16584.2
2010-01-21T18:00:00Z,1.79177,1.79984,1.78923,1.79878,11340,16419.35
2010-01-21T22:00:00Z,1.79878,1.80051,1.78921,1.79826,11114,16545.2
2010-01-22T02:00:00Z,1.79826,1.79861,1.79271,1.79536,8236,16845.55
2010-01-22T06:00:00Z,1.79536,1.79621,1.78488,1.78704,22786,17590.9
2010-01-22T10:00:00Z,1.78704,1.79414,1.77897,1.78448,27073,18503.15
2010-01-22T14:00:00Z,1.78448,1.78521,1.77807,1.78102,23088,18627.45
2010-01-22T18:00:00Z,1.78102,1.78722,1.78002,1.78662,0,17244.85
2010-01-24T22:00:00Z,1.78112,1.78604,1.77771,1.77931,8748,16563.65
2010-01-25T02:00:00Z,1.77931,1.78056,1.77532,1.77793,7488,16547.7
2010-01-25T06:00:00Z,1.77793,1.78527,1.77761,1.78391,17048,16895.4
2010-01-25T10:00:00Z,1.78391,1.78716,1.77755,1.78697,18846,17069.55
2010-01-25T14:00:00Z,1.78697,1.79893,1.7849,1.7953,24799,17029.4
2010-01-25T18:00:00Z,1.7953,1.79778,1.79127,1.79579,7669,16113.6
2010-01-25T22:00:00Z,1.79579,1.79751,1.79036,1.79205,5616,15077.65
2010-01-26T02:00:00Z,1.79205,1.80614,1.79161,1.80377,17232,15543.75
2010-01-26T06:00:00Z,1.80377,1.81341,1.79699,1.79763,27454,16505.1
2010-01-26T10:00:00Z,1.79763,1.80088,1.79281,1.79715,20943,16962.9
2010-01-26T14:00:00Z,1.79715,1.80424,1.79091,1.79158,28781,17285.7
2010-01-26T18:00:00Z,1.79158,1.79701,1.78921,1.79629,8733,16421
2010-01-26T22:00:00Z,1.79629,1.79753,1.78475,1.78595,9521,15325.75
2010-01-27T02:00:00Z,1.78595,1.79168,1.78388,1.78984,9494,15233.45
2010-01-27T06:00:00Z,1.78984,1.80327,1.7894,1.80264,22638,15809.65
2010-01-27T10:00:00Z,1.80264,1.80854,1.80001,1.80841,22023,16499
2010-01-27T14:00:00Z,1.80841,1.80883,1.80218,1.80671,28207,16770.05
